prompt,topic,raw_quality,length_bucket,source,tokens,Unnamed: 6,Unnamed: 7
write an engaging instagram caption for a travel photo,creative,0.2417,medium,casual_cluster,9,,
write a character description for a sci-fi novel protagonist,creative,0.2321,medium,casual_cluster,9,,
explain quantum computing using a simple analogy,analytical,0.2231,short,casual_cluster,7,,NOTES:
generate a list of study flashcards for human anatomy,structured,0.2417,medium,casual_cluster,9,,"Archtypes (To be inserted sa ""topic"" column)                                                      concise, structured, conversational, creative, analytical, coding"
write a lesson plan on fractions for 4th graders,structured,0.2417,medium,casual_cluster,9,,
explain the difference between mitosis and meiosis,analytical,0.1531,short,casual_cluster,7,,
write a polite decline response to a wedding invitation,creative,0.2417,medium,casual_cluster,9,,
draft a resume summary for a recent college graduate,creative,0.2417,medium,casual_cluster,9,,
build a chatbot for my customer service portal,coding,0.175,short,casual_cluster,8,,"Source:                                                                                                                        - ShareGPT low-score filter, 
- WildChat short first-turns, 
- r/ChatGPT  or r/LocalLLaMA ""help me fix this prompt"" threads, 
- HuggingFace datasets like OpenAssistant/oasst2"
write a unit test for this authentication function,coding,0.175,short,casual_cluster,8,,
create a kubernetes deployment manifest for my app,coding,0.175,short,casual_cluster,8,,
generate a json payload for a mock api response,coding,0.2417,medium,casual_cluster,9,,
write a terraform script to provision a virtual machine,coding,0.2417,medium,casual_cluster,9,,
debug this c++ code that throws a segmentation fault,coding,0.2417,medium,casual_cluster,9,,
draft a partnership proposal for a local charity event,creative,0.2417,medium,casual_cluster,9,,
create a risk management plan for a construction project,structured,0.175,medium,casual_cluster,9,,"Leave Blank:                                                                                                                                       - tokens, length, raw_quality columns"
write an employee performance review template,structured,0.1312,short,casual_cluster,6,,
create a crisis communication plan for a data breach,structured,0.175,medium,casual_cluster,9,,
draft a user manual for a smart home thermostat,structured,0.2417,medium,casual_cluster,9,,
write a case study on a successful marketing campaign,structured,0.2417,medium,casual_cluster,9,,
write a script to scrape product prices from amazon,coding,0.175,medium,casual_cluster,9,,"Coding
If prompt includes:
code, script, debug, api, python, react, terraform, kubernetes, manifest, payload
Structured
If prompt asks for:
plan, template, matrix, guide, survey, flashcards, manual, checklist, lesson plan
Creative
If asks for:
caption, story, character, press release, cover letter, descriptions, ad copy
Analytical
If asks to:
explain, compare, analyze, discuss concepts/theory/science
Conversational
If asks:
how do I, help me, advice, coaching, practical interaction
Concise
If asks for:
simple, quick, short answer, beginner basics, direct steps"
write a how-to guide on changing a car tire,structured,0.175,medium,casual_cluster,9,,
How do I make a website?,conversational,0.1312,short,curated_vague,6,,
Explain loop quantum gravity.,analytical,0.0875,short,curated_vague,4,,
Explain genetic inheritance.,analytical,0.1156,short,curated_vague,3,,
Explain how sports work.,analytical,0.0875,short,curated_vague,4,,
Explain cognitive neuroscience.,analytical,0.1156,short,curated_vague,3,,
Explain the ethical issues in gene editing.,analytical,0.2231,short,curated_vague,7,,
Explain chaos theory.,analytical,0.0656,short,curated_vague,3,,
Explain embodied cognition.,analytical,0.1156,short,curated_vague,3,,
Explain theoretical ecology.,analytical,0.1156,short,curated_vague,3,,
Explain evolutionary biology.,analytical,0.1156,short,curated_vague,3,,
Explain how to tell time.,concise,0.1094,short,curated_vague,5,,
Explain how the advertising strategies code works.,coding,0.1531,short,curated_vague,7,,
Explain quantum cryptography.,analytical,0.0656,short,curated_vague,3,,
Explain how to make jokes.,conversational,0.1094,short,curated_vague,5,,
Explain philosophical theories.,analytical,0.1156,short,curated_vague,3,,
Explain this evolutionary biology code.,coding,0.1719,short,curated_vague,5,,
Explain String Theory.,analytical,0.0656,short,curated_vague,3,,
Explain physical chemistry.,analytical,0.1156,short,curated_vague,3,,
Explain advanced economics.,analytical,0.1156,short,curated_vague,3,,
Explain measure theory.,analytical,0.0656,short,curated_vague,3,,
Explain data visualization.,analytical,0.0656,short,curated_vague,3,,
Explain advanced game theory.,analytical,0.1375,short,curated_vague,4,,
Explain SN1 reactions.,analytical,0.0656,short,curated_vague,3,,
Explain the concept of cognitive dissonance.,analytical,0.2063,short,curated_vague,6,,
Explain augmented reality.,analytical,0.1156,short,curated_vague,3,,
Explain organic chemistry.,analytical,0.1156,short,curated_vague,3,,
Explain how a climate model works.,analytical,0.1312,short,curated_vague,6,,
Explain political systems simply.,analytical,0.1375,short,curated_vague,4,,
Explain content marketing.,analytical,0.0656,short,curated_vague,3,,
Explain measure theory code.,coding,0.0875,short,curated_vague,4,,
Explain string theory.,analytical,0.0656,short,curated_vague,3,,
Explain the difference between saving and investing.,analytical,0.1531,short,curated_vague,7,,
Explain advanced mathematical concepts.,analytical,0.1625,short,curated_vague,4,,
Explain inorganic chemistry.,analytical,0.1156,short,curated_vague,3,,
Explain how a blockchain works.,analytical,0.1927,short,curated_vague,5,,
Explain the cognitive neuroscience of decision-making.,analytical,0.2231,short,curated_vague,6,,
Explain network security.,analytical,0.0656,short,curated_vague,3,,
Explain the water cycle.,analytical,0.0875,short,curated_vague,4,,
Explain simple science experiments.,analytical,0.1375,short,curated_vague,4,,
Explain how organic chemistry code works.,coding,0.1913,short,curated_vague,6,,
Explain gravitational wave astronomy.,analytical,0.1375,short,curated_vague,4,,
Explain differential geometry.,analytical,0.1156,short,curated_vague,3,,
Explain the different parts of this code:,coding,0.2406,short,curated_vague,7,,
Explain the bias-variance tradeoff.,analytical,0.1094,short,curated_vague,4,,
Explain causal set theory.,analytical,0.0875,short,curated_vague,4,,
Explain quantum algorithms.,analytical,0.0656,short,curated_vague,3,,
How do I copy and paste?,concise,0.1312,short,curated_vague,6,,
Write about garden tools.,creative,0.0875,short,curated_vague,4,,
Explain community helpers.,concise,0.0656,short,curated_vague,3,,
Write about creative writing.,creative,0.1542,short,curated_vague,4,,
Explain climate change.,analytical,0.0656,short,curated_vague,3,,
Explain machine learning.,analytical,0.0656,short,curated_vague,3,,
How do I negotiate?,conversational,0.0875,short,curated_vague,4,,
Explain how this population genetics code works.,coding,0.1531,short,curated_vague,7,,
Explain extended mind theory.,analytical,0.1375,short,curated_vague,4,,
Explain game theory.,analytical,0.0656,short,curated_vague,3,,
How do I change my car's oil?,conversational,0.175,short,curated_vague,7,,
Explain this Python code that visualizes data.,coding,0.1531,short,curated_vague,7,,
Explain blockchain technology.,analytical,0.1156,short,curated_vague,3,,
Explain molecular dynamics simulation.,analytical,0.1375,short,curated_vague,4,,
Explain quantum entanglement.,analytical,0.0656,short,curated_vague,3,,
Explain the history of the world.,analytical,0.1312,short,curated_vague,6,,
Explain this habitat restoration code.,coding,0.1094,short,curated_vague,5,,
Explain algorithm design.,analytical,0.0656,short,curated_vague,3,,
Explain weather patterns.,analytical,0.0656,short,curated_vague,3,,
Explain quantum computing.,analytical,0.0656,short,curated_vague,3,,
How do I make friends?,conversational,0.1094,short,curated_vague,5,,
Explain molecular biology.,analytical,0.1156,short,curated_vague,3,,
Explain cognitive biases.,analytical,0.1156,short,curated_vague,3,,
Explain exercise physiology.,analytical,0.0656,short,curated_vague,3,,
Explain computational complexity theory.,analytical,0.1375,short,curated_vague,4,,
Explain supply chain management.,analytical,0.0875,short,curated_vague,4,,
Explain basic nutrition.,analytical,0.1156,short,curated_vague,3,,
How do I clean my house?,conversational,0.1312,short,curated_vague,6,,
Explain cryptographic protocols.,analytical,0.1156,short,curated_vague,3,,
Explain number theory.,analytical,0.0656,short,curated_vague,3,,
Explain systems biology.,analytical,0.0656,short,curated_vague,3,,
Explain the concept of quantum entanglement.,analytical,0.1312,short,curated_vague,6,,
Explain constructivism in education.,analytical,0.0875,short,curated_vague,4,,
Explain the code.,coding,0.0656,short,curated_vague,3,,
Explain the concept of chemical potential.,analytical,0.2063,short,curated_vague,6,,
Explain musical theory.,analytical,0.1156,short,curated_vague,3,,
Explain M-theory in simpler terms.,analytical,0.06,short,curated_vague,5,,
Explain time series analysis.,analytical,0.0875,short,curated_vague,4,,
Explain cryptocurrency basics.,analytical,0.0656,short,curated_vague,3,,
How do I put on a shirt?,concise,0.1531,short,curated_vague,7,,
Help me with financial planning.,conversational,0.1927,short,curated_vague,5,,
Explain the philosophy of science.,analytical,0.1094,short,curated_vague,5,,
Explain quantum error correction.,analytical,0.0875,short,curated_vague,4,,
Explain this number theory code.,coding,0.1094,short,curated_vague,5,,
Explain climate modeling.,analytical,0.0656,short,curated_vague,3,,
