text,topic,quality_score,length_bucket,source
write a creative brief for a new logo design,generation,0.19999999999999998,short,casual_cluster
create a storyboard outline for a short animated film,general,0.19999999999999998,short,casual_cluster
write an engaging instagram caption for a travel photo,generation,0.19999999999999998,short,casual_cluster
suggest 5 different layout options for a magazine cover,general,0.19999999999999998,short,casual_cluster
draft a concept for an interactive billboard ad,generation,0.19999999999999998,short,casual_cluster
write a character description for a sci-fi novel protagonist,generation,0.19999999999999998,short,casual_cluster
explain quantum computing using a simple analogy,QA/explanation,0.0,short,casual_cluster
generate a list of study flashcards for human anatomy,general,0.19999999999999998,short,casual_cluster
write a lesson plan on fractions for 4th graders,generation,0.19999999999999998,short,casual_cluster
summarize the main themes of the great gatsby,general,0.19999999999999998,short,casual_cluster
create a weekly study schedule for the sats,general,0.19999999999999998,short,casual_cluster
explain the difference between mitosis and meiosis,QA/explanation,0.0,short,casual_cluster
translate these 20 common conversational phrases into spanish,general,0.19999999999999998,short,casual_cluster
plan a 7-day vegetarian meal prep menu,general,0.19999999999999998,short,casual_cluster
write a polite decline response to a wedding invitation,generation,0.19999999999999998,short,casual_cluster
create a daily routine for a remote software developer,general,0.19999999999999998,short,casual_cluster
generate a packing list for a weekend camping trip,general,0.19999999999999998,short,casual_cluster
plan a birthday party itinerary for a 10-year-old,general,0.19999999999999998,short,casual_cluster
create a checklist for moving into a new apartment,general,0.19999999999999998,short,casual_cluster
draft a resume summary for a recent college graduate,generation,0.19999999999999998,short,casual_cluster
build a chatbot for my customer service portal,general,0.19999999999999998,short,casual_cluster
write a unit test for this authentication function,coding,0.19999999999999998,short,casual_cluster
create a kubernetes deployment manifest for my app,general,0.19999999999999998,short,casual_cluster
design a scalable architecture for a video streaming platform,general,0.19999999999999998,short,casual_cluster
generate a json payload for a mock api response,general,0.19999999999999998,short,casual_cluster
write a terraform script to provision a virtual machine,generation,0.19999999999999998,short,casual_cluster
debug this c++ code that throws a segmentation fault,coding,0.19999999999999998,short,casual_cluster
write a regular expression to validate strong passwords,generation,0.19999999999999998,short,casual_cluster
draft a partnership proposal for a local charity event,generation,0.19999999999999998,short,casual_cluster
create a risk management plan for a construction project,general,0.19999999999999998,short,casual_cluster
write a script for a cold calling sales campaign,generation,0.19999999999999998,short,casual_cluster
generate an agenda for a quarterly board meeting,general,0.19999999999999998,short,casual_cluster
write an employee performance review template,generation,0.19999999999999998,short,casual_cluster
create a crisis communication plan for a data breach,general,0.19999999999999998,short,casual_cluster
draft a user manual for a smart home thermostat,generation,0.19999999999999998,short,casual_cluster
write a case study on a successful marketing campaign,generation,0.19999999999999998,short,casual_cluster
design an onboarding sequence for new app users,general,0.19999999999999998,short,casual_cluster
write a macro to format this excel spreadsheet,generation,0.19999999999999998,short,casual_cluster
write a script to scrape product prices from amazon,generation,0.19999999999999998,short,casual_cluster
create a timeline for planning a corporate conference,general,0.19999999999999998,short,casual_cluster
draft a non-disclosure agreement for freelance contractors,generation,0.19999999999999998,short,casual_cluster
write a how-to guide on changing a car tire,generation,0.19999999999999998,short,casual_cluster
build an automated email sequence for abandoned shopping carts,general,0.19999999999999998,short,casual_cluster
How do I make a website?,general,0.09999999999999998,short,curated_vague
Explain loop quantum gravity.,QA/explanation,0.0,short,curated_vague
Explain genetic inheritance.,QA/explanation,0.0,short,curated_vague
Explain how sports work.,QA/explanation,0.0,short,curated_vague
Explain cognitive neuroscience.,QA/explanation,0.0,short,curated_vague
Explain the ethical issues in gene editing.,QA/explanation,0.09999999999999998,short,curated_vague
Explain chaos theory.,QA/explanation,0.0,short,curated_vague
Explain embodied cognition.,QA/explanation,0.0,short,curated_vague
Explain theoretical ecology.,QA/explanation,0.0,short,curated_vague
Explain evolutionary biology.,QA/explanation,0.0,short,curated_vague
Explain how to tell time.,QA/explanation,0.09999999999999998,short,curated_vague
Explain how the advertising strategies code works.,coding,0.09999999999999998,short,curated_vague
Explain quantum cryptography.,QA/explanation,0.0,short,curated_vague
Explain how to make jokes.,QA/explanation,0.09999999999999998,short,curated_vague
Explain philosophical theories.,QA/explanation,0.0,short,curated_vague
Explain this evolutionary biology code.,coding,0.09999999999999998,short,curated_vague
Explain String Theory.,QA/explanation,0.0,short,curated_vague
Explain physical chemistry.,QA/explanation,0.0,short,curated_vague
Explain advanced economics.,QA/explanation,0.0,short,curated_vague
How do I do synthetic biology?,general,0.09999999999999998,short,curated_vague
Explain measure theory.,QA/explanation,0.0,short,curated_vague
Explain data visualization.,QA/explanation,0.0,short,curated_vague
Explain advanced game theory.,QA/explanation,0.0,short,curated_vague
Explain SN1 reactions.,QA/explanation,0.0,short,curated_vague
Explain the concept of cognitive dissonance.,QA/explanation,0.09999999999999998,short,curated_vague
Explain augmented reality.,QA/explanation,0.0,short,curated_vague
Explain organic chemistry.,QA/explanation,0.0,short,curated_vague
Explain how a climate model works.,QA/explanation,0.09999999999999998,short,curated_vague
Explain biochemistry.,QA/explanation,0.0,short,curated_vague
Explain political systems simply.,QA/explanation,0.0,short,curated_vague
Explain content marketing.,QA/explanation,0.0,short,curated_vague
Explain arithmetic.,QA/explanation,0.0,short,curated_vague
Explain measure theory code.,coding,0.0,short,curated_vague
Explain string theory.,QA/explanation,0.0,short,curated_vague
Explain the difference between saving and investing.,QA/explanation,0.09999999999999998,short,curated_vague
Explain jokes.,QA/explanation,0.0,short,curated_vague
Explain advanced mathematical concepts.,QA/explanation,0.0,short,curated_vague
Explain inorganic chemistry.,QA/explanation,0.0,short,curated_vague
Explain how a blockchain works.,QA/explanation,0.09999999999999998,short,curated_vague
Explain the cognitive neuroscience of decision-making.,QA/explanation,0.09999999999999998,short,curated_vague
Explain network security.,QA/explanation,0.0,short,curated_vague
Explain the water cycle.,QA/explanation,0.0,short,curated_vague
Explain simple science experiments.,QA/explanation,0.0,short,curated_vague
Explain how organic chemistry code works.,coding,0.09999999999999998,short,curated_vague
Explain gravitational wave astronomy.,QA/explanation,0.0,short,curated_vague
Explain differential geometry.,QA/explanation,0.0,short,curated_vague
Explain the different parts of this code:,coding,0.09999999999999998,short,curated_vague
Explain the bias-variance tradeoff.,QA/explanation,0.0,short,curated_vague
Explain how a Kalman filter works.,QA/explanation,0.09999999999999998,short,curated_vague
Explain causal set theory.,QA/explanation,0.0,short,curated_vague
Explain quantum algorithms.,QA/explanation,0.0,short,curated_vague
How do I copy and paste?,general,0.09999999999999998,short,curated_vague
Write about garden tools.,generation,0.1,short,curated_vague
Explain constructivism.,QA/explanation,0.0,short,curated_vague
Explain evolution.,QA/explanation,0.0,short,curated_vague
Explain community helpers.,QA/explanation,0.0,short,curated_vague
Write about creative writing.,generation,0.1,short,curated_vague
Explain climate change.,QA/explanation,0.0,short,curated_vague
Explain machine learning.,QA/explanation,0.0,short,curated_vague
How do I negotiate?,general,0.0,short,curated_vague
Explain how this population genetics code works.,coding,0.09999999999999998,short,curated_vague
Explain extended mind theory.,QA/explanation,0.0,short,curated_vague
Explain game theory.,QA/explanation,0.0,short,curated_vague
How do I change my car's oil?,general,0.09999999999999998,short,curated_vague
Explain this Python code that visualizes data.,coding,0.09999999999999998,short,curated_vague
Explain blockchain technology.,QA/explanation,0.0,short,curated_vague
How do I take better photos?,general,0.09999999999999998,short,curated_vague
Explain molecular dynamics simulation.,QA/explanation,0.0,short,curated_vague
Explain quantum entanglement.,QA/explanation,0.0,short,curated_vague
Explain the five senses.,QA/explanation,0.0,short,curated_vague
Explain the history of the world.,QA/explanation,0.09999999999999998,short,curated_vague
Explain this habitat restoration code.,coding,0.09999999999999998,short,curated_vague
Explain algorithm design.,QA/explanation,0.0,short,curated_vague
Explain weather patterns.,QA/explanation,0.0,short,curated_vague
Explain quantum computing.,QA/explanation,0.0,short,curated_vague
How do I make friends?,general,0.09999999999999998,short,curated_vague
Explain molecular biology.,QA/explanation,0.0,short,curated_vague
Explain cognitive biases.,QA/explanation,0.0,short,curated_vague
Explain exercise physiology.,QA/explanation,0.0,short,curated_vague
Explain cryptocurrency.,QA/explanation,0.0,short,curated_vague
Explain computational complexity theory.,QA/explanation,0.0,short,curated_vague
Explain supply chain management.,QA/explanation,0.0,short,curated_vague
Explain basic nutrition.,QA/explanation,0.0,short,curated_vague
How do I clean my house?,general,0.09999999999999998,short,curated_vague
Explain blockchain.,QA/explanation,0.0,short,curated_vague
Explain cryptographic protocols.,QA/explanation,0.0,short,curated_vague
Explain the Diffie-Hellman key exchange.,QA/explanation,0.09999999999999998,short,curated_vague
Explain number theory.,QA/explanation,0.0,short,curated_vague
Explain systems biology.,QA/explanation,0.0,short,curated_vague
Explain the concept of quantum entanglement.,QA/explanation,0.09999999999999998,short,curated_vague
Explain constructivism in education.,QA/explanation,0.0,short,curated_vague
Explain M-theory.,QA/explanation,0.0,short,curated_vague
Explain the code.,coding,0.0,short,curated_vague
Explain the concept of chemical potential.,QA/explanation,0.09999999999999998,short,curated_vague
Explain musical theory.,QA/explanation,0.0,short,curated_vague
Explain M-theory in simpler terms.,QA/explanation,0.09999999999999998,short,curated_vague
Explain time series analysis.,QA/explanation,0.0,short,curated_vague
Explain cryptocurrency basics.,QA/explanation,0.0,short,curated_vague
How do I put on a shirt?,general,0.09999999999999998,short,curated_vague
Help me with financial planning.,general,0.09999999999999998,short,curated_vague
Explain the philosophy of science.,QA/explanation,0.09999999999999998,short,curated_vague
Explain economics.,QA/explanation,0.0,short,curated_vague
Explain quantum error correction.,QA/explanation,0.0,short,curated_vague
